lzo 2.10-1
m4 1.4.18-1
mailcap 2.1.48+14+g5811758-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.14-1
mathjax 2.7.2-1
mdadm 4.0-1
mencoder 37998-1
mesa 17.3.1-2
metacity 3.26.0-1
mjpegtools 2.1.0-3
mkinitcpio 24-2
mkinitcpio-busybox 1.27.2-1
mlt 6.4.1-8
mlt-python-bindings 6.4.1-8
mobile-broadband-provider-info 20170310-1
mono 5.0.0.100-2
mono-addins 1.3.3-1
mozilla-common 1.4-4
mpfr 3.1.6.p1-1
mpg123 1.25.8-1
mplayer 37998-1
mtdev 1.1.5-1
mutter 3.26.2+31+gbf91e2b4c-1
namcap 3.2.7-2
nano 2.9.1-1
ncurses 6.0+20170902-3
neon 0.30.2-2
net-snmp 5.7.3-7
net-tools 1.60.20160710git-1
netctl 1.14-1
nettle 3.4-1
nm-connection-editor 1.8.11dev+7+ga52ccb2f-1
nmap 7.60-1
nodejs 9.3.0-1
npm 5.6.0-1
npth 1.5-1
nspr 4.17-1
nss 3.34.1-1
ntfs-3g 2017.3.23-1
ntp 4.2.8.p10-2
nvidia-egl-wayland-full-beta 387.34-1
nvidia-full-beta 387.34-1
nvidia-libgl-full-beta 387.34-1
nvidia-utils-full-beta 387.34-1
ocl-icd 2.2.11-1
openal 1.18.2-1
opencl-nvidia-full-beta 387.34-1
opencore-amr 0.1.5-1
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openshot 2.4.1-1
openssh 7.6p1-1
openssl 1.1.0.g-1
openssl-1.0 1.0.2.n-1
openvpn 2.4.4-1
opus 1.2.1-1
orc 0.4.28-1
p11-kit 0.23.9-1
p7zip 16.02-3
pacgraph 20110629-3
package-query 1.9-1
pacman 5.0.2-2
pacman-mirrorlist 20171203-1
pam 1.3.0-1
pambase 20171006-1
pango 1.40.14-1
pangomm 2.40.1-2
parted 3.2-6
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.6-1
pcmciautils 018-7
pcre 8.41-1
pcre2 10.30-1
pdfcrack 0.16-2
perl 5.26.1-1
perl-clone 0.39-4
